IUCN,Generations,median_Ne,lq_Ne,uq_Ne
EN,315.3849243879929,24123.852139717987,8699.07873428367,88153.78616031924
EN,333.1502849646598,24123.852139717987,8699.07873428367,88153.78616031924
EN,351.91635296902484,24123.852139717987,8699.07873428367,88153.78616031924
EN,371.739497386762,24123.852139717987,8699.07873428367,88153.78616031924
EN,392.67926241985657,24123.852139717987,8699.07873428367,88153.78616031924
EN,414.79854634379654,24123.852139717987,8699.07873428367,88153.78616031924
EN,438.1637904396411,24123.852139717987,8699.07873428367,88153.78616031924
EN,462.8451785684634,24123.852139717987,8699.07873428367,88153.78616031924
EN,488.91684798765556,24123.852139717987,8699.07873428367,88153.78616031924
EN,516.4571120423277,24123.852139717987,8699.07873428367,88153.78616031924
EN,545.5486954007282,24123.852139717987,8699.07873428367,88153.78616031924
EN,576.2789825402651,24123.852139717987,8699.07873428367,88153.78616031924
EN,608.7402802305376,24123.852139717987,8699.07873428367,88153.78616031924
EN,643.0300948018026,24123.852139717987,8699.07873428367,88153.78616031924
EN,679.2514250317438,24123.852139717987,8699.07873428367,88153.78616031924
EN,717.5130715302888,24123.852139717987,8699.07873428367,88153.78616031924
EN,757.9299635518178,24123.852139717987,8699.07873428367,88153.78616031924
EN,800.6235042164104,23626.785953493578,8699.07873428367,88153.78616031924
EN,845.7219351771156,22969.89850058796,8699.07873428367,88153.78616031924
EN,893.3607218286121,22767.598682306976,8699.07873428367,88153.78616031924
EN,943.6829602143388,22767.598682306976,8699.07873428367,88153.78616031924
EN,996.8398068543511,22767.598682306976,8699.07873428367,88153.78616031924
EN,1052.9909327850132,22767.598682306976,8699.07873428367,88153.78616031924
EN,1112.3050031743546,22767.598682306976,8699.07873428367,88153.78616031924
EN,1174.9601839537427,22767.598682306976,8699.07873428367,88153.78616031924
EN,1241.1446769876784,22767.598682306976,8699.07873428367,88153.78616031924
EN,1311.0572853892495,22767.598682306976,8474.256043200696,88153.78616031924
EN,1384.908010679316,22767.598682306976,8482.254514059518,88153.78616031924
EN,1462.9186835831524,22767.598682306976,8502.310614435606,88153.78616031924
EN,1545.3236303593194,22767.598682306976,8523.49645763512,88153.78616031924
EN,1632.370376662271,22767.598682306976,8568.994070103416,88153.78616031924
EN,1724.3203910529362,22767.598682306976,8639.913547511671,88153.78616031924
EN,1821.4498703906029,22767.598682306976,8699.07873428367,88153.78616031924
EN,1924.05056946525,22767.598682306976,8699.07873428367,88153.78616031924
EN,2032.4306773623564,22767.598682306976,8737.626362996913,88153.78616031924
EN,2146.915743192587,22767.598682306976,8800.7805035361,88153.78616031924
EN,2267.8496539670227,22767.598682306976,9239.868861635357,88153.78616031924
EN,2395.5956675552607,22767.598682306976,9394.349213052803,88153.78616031924
