"","ID","species","vgp_group","Accession","Secondary_Accession","IUCN","Combined_captivity_flag_primary","Combined_captivity_flag_alternate"
"522","rZooViv","Zootoca_vivipara","reptiles","GCF_963506605.1","GCA_965207765.1","LC","no","no"
"523","fConCon","Conger_conger","fishes","GCF_963514075.1","GCA_963514125.1","LC","no","no"
"524","fLimLim","Limanda_limanda","fishes","GCF_963576545.1","GCA_963576525.1","LC","no","no"
"525","fLabMix","Labrus_mixtus","fishes","GCF_963584025.1","GCA_963583885.1","LC","no","no"
"526","bCinCin","Cinclus_cinclus","birds","GCF_963662255.1","GCA_963662415.1","LC","no","no"
"527","fScoSco","Scomber_scombrus","fishes","GCF_963691925.1","GCA_963691945.1","LC","no","no"
"528","fOsmEpe","Osmerus_eperlanus","fishes","GCF_963692335.1","GCA_963692645.1","LC","no","no"
"529","fSarPil","Sardina_pilchardus","fishes","GCF_963854185.1","GCA_963854175.1","LC","no","no"
"530","bPhaCar","Phalacrocorax_carbo","birds","GCF_963921805.1","GCA_963921815.1","LC","no","no"
"531","bChrRid","Chroicocephalus_ridibundus","birds","GCF_963924245.1","GCA_030820635.1","LC","no","no"
"532","fThuThy","Thunnus_thynnus","fishes","GCF_963924715.1","GCA_963924655.1","LC","no","no"
"533","fLabBer","Labrus_bergylta","fishes","GCF_963930695.1","GCA_963930765.1","LC","no","no"
"534","bAnaAcu","Anas_acuta","birds","GCF_963932015.1","GCA_963932075.1","LC","no","no"
"535","mOryCun","Oryctolagus_cuniculus","mammals","GCF_964237555.1","GCA_047671645.1","EN","no","no"
