ID,Species_Name,vgp_group,Accession,Secondary_Accession
mRhiFer,Rhinolophus_ferrumequinum,mammals,GCF_004115265.2,GCA_014108255.1
mPhyDis,Phyllostomus_discolor,mammals,GCF_004126475.2,GCA_014049915.1
mLynCan,Lynx_canadensis,mammals,GCF_007474595.2,GCA_007474575.2
mPhoSin,Phocoena_sinus,mammals,GCF_008692025.1,GCA_008692045.1
bCorMon,Corvus_moneduloides,birds,GCF_009650955.1,GCA_009651025.1
mZalCal,Zalophus_californianus,mammals,GCF_009762305.2,GCA_009762295.2
fNotCel,Notolabrus_celidotus,fishes,GCF_009762535.1,GCA_009762545.1
sPriPec,Pristis_pectinata,sharks,GCF_009764475.1,GCA_009764485.1
rDerCor,Dermochelys_coriacea,reptiles,GCF_009764565.3,GCA_009762595.2
rThaEle,Thamnophis_elegans,reptiles,GCF_009769535.1,GCA_009769695.1
fCycLum,Cyclopterus_lumpus,fishes,GCF_009769545.1,GCA_963457625.1
bCygOlo,Cygnus_olor,birds,GCF_009769625.2,GCA_009769485.2
rLacAgi,Lacerta_agilis,reptiles,GCF_009819535.1,GCA_009819545.1
bSylAtr,Sylvia_atricapilla,birds,GCF_009819655.1,GCA_009819715.1
fHipHip,Hippoglossus_hippoglossus,fishes,GCF_009819705.1,GCA_009819745.1
bAytFul,Aythya_fuligula,birds,GCF_009819795.1,GCA_009819845.1
bCatUst,Catharus_ustulatus,birds,GCF_009819885.2,GCA_009819505.2
fPerMag,Periophthalmus_magnuspinnatus,fishes,GCF_009829125.3,GCA_026225835.1
bChiLan,Chiroxiphia_lanceolata,birds,GCF_009829145.1,GCA_009829205.1
mMusErm,Mustela_erminea,mammals,GCF_009829155.1,GCA_009829165.1
mHomSap,Homo_sapiens,mammals,GCF_009914755.1,GCA_016695395.2
sAmbRad,Amblyraja_radiata,sharks,GCF_010909765.2,GCA_010909745.1
kPetMar,Petromyzon_marinus,chordates,GCF_010993605.1,GCA_010993595.1
fEsoLuc,Esox_lucius,fishes,GCF_011004845.1,GCF_004634155.1
mTriVul,Trichosurus_vulpecula,mammals,GCF_011100635.1,GCA_011100645.1
mTurTru,Tursiops_truncatus,mammals,GCF_011762595.1,GCA_011762515.1
bMelUnd,Melopsittacus_undulatus,birds,GCF_012275295.1,GCA_012275275.1
fAngAng,Anguilla_anguilla,fishes,GCF_013347855.1,GCA_013347865.1
fMegCyp,Megalops_cyprinoides,fishes,GCF_013368585.1,GCA_013368575.1
bNycGra,Nyctibius_grandis,birds,GCF_013368605.1,GCA_013368595.1
mRouAeg,Rousettus_aegyptiacus,mammals,GCF_014176215.1,GCF_001466805.2
bDryPub,Dryobates_pubescens,birds,GCF_014839835.1,GCA_014839825.1
bFalRus,Falco_rusticolus,birds,GCF_015220075.1,GCA_028534605.1
mChoDid,Choloepus_didactylus,mammals,GCF_015220235.1,GCA_015220265.1
fPygNat,Pygocentrus_nattereri,fishes,GCF_015220715.1,GCA_015220065.1
fSebUmb,Sebastes_umbrosus,fishes,GCF_015220745.1,GCA_916701575.1
bPogPus,Pogoniulus_pusillus,birds,GCF_015220805.1,GCA_015220175.1
mRatNor,Rattus_norvegicus,mammals,GCF_015227675.2,GCA_021556685.1
bHirRus,Hirundo_rustica,birds,GCF_015227805.1,GCA_015227815.3
rCheMyd,Chelonia_mydas,reptiles,GCF_015237465.2,GCA_015220195.2
mTacAcu,Tachyglossus_aculeatus,mammals,GCF_015852505.1,GCA_015852515.1
bGalGal,Gallus_gallus,birds,GCF_016700215.2,GCA_027408225.1
sCarCar,Carcharodon_carcharias,sharks,GCF_017639515.1,GCA_036900845.1
bFalNau,Falco_naumanni,birds,GCF_017639655.2,GCA_017639645.1
fMelBoe,Melanotaenia_boesemani,fishes,GCF_017639745.1,GCA_017639755.1
fCheRos,Chelmon_rostratus,fishes,GCF_017976325.1,GCA_017976315.1
bCucCan,Cuculus_canorus,birds,GCF_017976375.1,GCA_017976305.1
fToxJac,Toxotes_jaculatrix,fishes,GCF_017976425.1,GCA_017976295.1
fAloSap,Alosa_sapidissima,fishes,GCF_018492685.1,GCA_019202745.1
mDroGli,Dromiciops_gliroides,mammals,GCF_019393635.1,GCA_019395325.1
fScaArg,Scatophagus_argus,fishes,GCF_020382885.2,GCA_020382915.1
mLemCat,Lemur_catta,mammals,GCF_020740605.2,GCA_020740595.1
mJacJac,Jaculus_jaculus,mammals,GCF_020740685.1,GCA_020740715.1
bCorHaw,Corvus_hawaiiensis,birds,GCF_020740725.1,GCA_003402825.1
sHemOce,Hemiscyllium_ocellatum,sharks,GCF_020745735.1,GCA_020745765.1
bAgePho,Agelaius_phoeniceus,birds,GCF_020745825.1,GCA_013398535.1
mDicBic,Diceros_bicornis,mammals,GCF_020826845.1,GCA_020826835.1
fGirMul,Girardinichthys_multiradiatus,fishes,GCF_021462225.1,GCA_021462225.2
rElgMul,Elgaria_multicarinata,reptiles,GCF_023053635.1,GCA_023053675.2
bLagMut,Lagopus_muta,birds,GCF_023343835.1,GCA_023344045.1
fAstMex,Astyanax_mexicanus,fishes,GCF_023375975.1,GCA_023375835.1
bFalChe,Falco_cherrug,birds,GCF_023634085.1,GCA_023634115.1
bFalPer,Falco_peregrinus,birds,GCF_023634155.1,GCA_965282525.1
bFalBia,Falco_biarmicus,birds,GCF_023638135.1,GCA_023634305.1
mSunEtr,Suncus_etruscus,mammals,GCF_024139225.1,GCA_024140225.1
mEleMax,Elephas_maximus,mammals,GCF_024166365.1,GCA_033060105.1
rGopFla,Gopherus_flavomarginatus,reptiles,GCF_025201925.1,GCA_025201965.1
mMesDen,Mesoplodon_densirostris,mammals,GCF_025265405.1,GCA_025094165.1
bHarHar,Harpia_harpyja,birds,GCF_026419915.1,GCA_026419925.1
mKogBre,Kogia_breviceps,mammals,GCF_026419965.1,GCA_026419985.1
bVidCha,Vidua_chalybeata,birds,GCF_026979565.1,GCA_013398495.1
rPodRaf,Podarcis_raffonei,reptiles,GCF_027172205.1,GCA_027172095.1
fPanHyp,Pangasianodon_hypophthalmus,fishes,GCF_027358585.1,GCA_027382375.1
aSpeBom,Spea_bombifrons,amphibians,GCF_027358695.1,GCA_027382365.2
mNycCou,Nycticebus_coucang,mammals,GCF_027406575.1,GCA_027406535.1
