"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"292","EN",31475.9393419572,33304.7277273661,18081.6498019281,70054.9828221477
"293","EN",33248.9518376694,33720.8494376907,18564.9511729457,70096.628899969
"294","EN",35121.8365969478,34470.4879549175,18969.4860955281,70140.6208654085
"295","EN",37100.2193381975,35262.3529627938,19389.3853521947,70187.090860291
"296","EN",39190.0426716859,36045.0019467787,19832.9371715672,69899.5794842161
"297","EN",41397.5839497876,36326.711834359,20244.9581855611,69527.3817638027
"298","EN",43729.4741227182,36624.2901967581,20908.9135016076,71826.6775309403
"299","EN",46192.7176563958,36938.6308914661,21727.3687347345,74345.6264005414
"300","EN",48794.713572258,36898.5516432156,22068.5749508599,75532.3110894245
"301","EN",51543.2776722336,36705.8062844804,23477.7832558498,78811.8300137782
"302","EN",54446.6660156282,37077.6273340237,24563.2597743883,80362.9671163196
"303","EN",57513.5997184423,38176.4378681836,25989.7221924,82001.4784330343
"304","EN",60753.291149613,38454.7541167238,27496.5360072141,80955.7192163937
"305","EN",64175.4716028687,38859.6131099861,28084.9944821428,84419.9775225446
"306","EN",67790.4205273139,42318.5911056478,26475.6591799817,83903.2348023615
"307","EN",71608.9964045491,46037.1488503253,27064.9181388378,83357.3844107599
"308","EN",75642.669365071,49228.1755000861,28508.4580578298,82774.8253534019
"309","EN",79903.5556419271,48033.4871689347,30112.1970445016,80872.5251891647
"310","EN",84404.4539651147,46967.9695938823,30768.6176798335,78945.4509615867
"311","EN",89158.8840060456,49626.4856006438,30682.6832393343,77919.456401219
"312","EN",94181.1269875522,52434.7535194556,30989.5896922124,79277.9057629872
"313","EN",99486.2685814236,55513.5797030177,33412.0975642889,81844.9075861289
"314","EN",105090.24422232,58837.2514644661,36503.9744501162,85738.9479379546
"315","EN",111009.88697418,60645.6085426482,39069.3165315997,89852.3362217861
"316","EN",117262.978092909,62038.2468414347,37697.2314427597,94281.7017655519
"317","EN",123868.300437206,62297.64769922,39999.6883756504,89586.6173456188
"318","EN",130845.69488799,62571.6603834309,43655.690839629,94551.3547613882
"319","EN",138216.119945879,63895.7983622772,47914.0947693568,95463.281370187
"320","EN",146001.714685739,64900.7999628032,48018.8958070295,98531.1803034979
"321","EN",154225.865257416,69628.49786066,50182.140081808,102105.889648029
"322","EN",162913.275132391,74198.4340296597,52652.6127640215,120242.9817602
"323","EN",172090.039307372,75720.9603822532,55821.5468094992,120730.181512215
"324","EN",181783.722687707,83407.4245039562,59888.5269698642,122185.469249355
"325","EN",192023.442886074,86310.1546710275,63494.820402448,123117.370443175
"326","EN",202839.957685137,93806.832766912,66760.7189687892,128270.354447802
"327","EN",214265.757426913,93898.1010822079,69283.1458356916,139072.865720102
"328","EN",226335.16260634,98615.949296199,70352.1692558916,154328.079993842
"329","EN",239084.426962215,103104.124173512,70812.3861075471,173600.188835931
"330","EN",252551.846375149,108717.846651177,75007.4219143732,193957.878935008
"331","EN",266777.873899654,114868.149894702,80092.213918087,222439.520477509
"332","EN",281805.241275888,122801.662458394,84822.6942950818,257925.138985987
"333","EN",297679.087286047,131182.062937249,88994.2774877044,295409.631756805
"334","EN",314447.093340972,140477.147963891,93558.0693342653,331858.118004963
"335","EN",332159.626704218,151088.529571496,96794.9741346888,341383.9085334
"336","EN",350869.891783826,165407.035088126,99667.7282470496,325682.679927036
"337","EN",370634.089946219,177527.996828765,99827.0593957422,374765.199704595
"338","EN",391511.588332284,182002.241722461,102713.773594886,467035.624166924
"339","EN",413565.098182711,210097.326835031,118909.539423415,456459.698494012
"340","EN",436860.863208252,192167.32798955,135732.779742076,655170.591878844
"341","EN",461468.858570709,214511.620967793,128642.916890906,875626.465290162
"342","EN",487463.001072353,269751.56687358,148246.233257255,1435135.36190842
"343","EN",514921.371185126,324914.754299295,158289.941576628,1125037.76460837
"344","EN",543926.447586564,371004.090119023,177889.191635488,1358119.03350746
"345","EN",574565.354906918,391834.350487848,199739.575824547,1343386.34111938
"346","EN",606930.125431666,475773.557976041,234588.620119961,1553000.007765
"347","EN",641117.975545486,535866.585812722,239281.676407425,1641677.15095461
"348","EN",677231.597748102,633555.448484647,240406.7914166,1754301.32756753
"349","EN",715379.469119107,747515.875018925,257449.710982039,1786272.49586924
"350","EN",755676.177158363,845757.859760672,268171.522845617,1800706.77741013
"351","EN",798242.763980694,934710.473430855,260855.528154647,1800706.77741013
"352","EN",843207.089898777,934710.473430855,294900.47862458,1843156.58997599
"353","EN",890704.217486351,983816.29470467,332486.939456421,1843156.58997599
"354","EN",940876.817275352,1207346.70469809,375336.844713083,1843156.58997599
"355","EN",993875.596305641,1343386.34111938,420600.448148367,2178839.11451978
"356","EN",1049859.75081456,1553000.007765,576520.68747083,2354298.15155586
"357","EN",1108997.44442608,1650738.23649985,829765.541950353,2354547.80909326
"358","EN",1171466.31327599,1745276.84453947,694908.013859316,2354547.80909326
"359","EN",1237453.99959026,1745276.84453947,552928.260409519,2566224.63447338
"360","EN",1307158.71531952,1754301.32756753,934710.473430855,2566224.63447338
"361","EN",1380789.83752248,1786272.49586924,934710.473430855,2645380.17419828
"362","EN",1458568.53728686,1754301.32756753,934710.473430855,2685645.22626561
"363","EN",1540728.44407684,1754301.32756753,1025414.45472736,2645380.17419828
"364","EN",1627516.34750269,1800706.77741013,1055999.66208011,2645380.17419828
"365","EN",1719192.93862039,1843156.58997599,1055999.66208011,2727805.88933292
"366","EN",1816033.59298813,1800706.77741013,1062984.35598254,2932637.32074254
"367","EN",1918329.19783157,1800706.77741013,1159984.14412573,2932637.32074254
"368","EN",2026387.02580277,1800706.77741013,1207346.70469809,2932637.32074254
"369","EN",2140531.65795702,1934369.69221169,1343386.34111938,2932637.32074254
"370","EN",2261105.95872035,2178839.11451978,1418976.02543646,2938281.3992096
"371","EN",2388472.10577594,2354547.80909326,1473010.42982525,2938281.3992096
"372","EN",2523012.67796328,2354547.80909326,1508727.90835484,2938281.3992096
