"","Generations_end","IUCN","Ne_median","Ne_min","Ne_max","Ne_lq","Ne_uq"
"67",927.864,"LC",101536.243362068,101536.243362068,101536.243362068,101536.243362068,101536.243362068
"68",931.032,"CR",4979.67669449061,4979.67669449061,4979.67669449061,4979.67669449061,4979.67669449061
"69",945.464,"EN",2841.15123448021,2841.15123448021,2841.15123448021,2841.15123448021,2841.15123448021
"70",950.184,"LC",2038715.2016799,2038715.2016799,2038715.2016799,2038715.2016799,2038715.2016799
"71",961.24,"LC",1996.85495344832,1996.85495344832,1996.85495344832,1996.85495344832,1996.85495344832
"72",967.408,"VU",1713.20150247772,1713.20150247772,1713.20150247772,1713.20150247772,1713.20150247772
"73",970.368,"LC",14226.9265926155,14226.9265926155,14226.9265926155,14226.9265926155,14226.9265926155
"74",974.64,"EN",5321.65407652006,5321.65407652006,5321.65407652006,5321.65407652006,5321.65407652006
"75",976.624,"LC",29333.6853375574,29333.6853375574,29333.6853375574,29333.6853375574,29333.6853375574
"76",989.368,"LC",36307.8542965807,36307.8542965807,36307.8542965807,36307.8542965807,36307.8542965807
"77",997.08,"EN",8250.55278703673,8250.55278703673,8250.55278703673,8250.55278703673,8250.55278703673
"78",1022.08,"LC",4179.72395013171,4179.72395013171,4179.72395013171,4179.72395013171,4179.72395013171
"79",1040.368,"VU",108793.50720349,108793.50720349,108793.50720349,108793.50720349,108793.50720349
"80",1046.032,"EN",8855.80752787919,8855.80752787919,8855.80752787919,8855.80752787919,8855.80752787919
"81",1047.976,"LC",27734.8273160314,27734.8273160314,27734.8273160314,27734.8273160314,27734.8273160314
"82",1052.792,"LC",37248.4565170831,37248.4565170831,37248.4565170831,37248.4565170831,37248.4565170831
"83",1060.8,"CR",1300.32247997503,1300.32247997503,1300.32247997503,1300.32247997503,1300.32247997503
"84",1077.648,"EN",2016.6575917075,2016.6575917075,2016.6575917075,2016.6575917075,2016.6575917075
"85",1097.728,"LC",17143.9837475034,17143.9837475034,17143.9837475034,17143.9837475034,17143.9837475034
"86",1100.4,"LC",71205.4187323655,71205.4187323655,71205.4187323655,71205.4187323655,71205.4187323655
"87",1104.32,"LC",1135.79251342365,1135.79251342365,1135.79251342365,1135.79251342365,1135.79251342365
"88",1113.76,"LC",49497.9056198685,49497.9056198685,49497.9056198685,49497.9056198685,49497.9056198685
"89",1114.36,"LC",2084.4406924512,2084.4406924512,2084.4406924512,2084.4406924512,2084.4406924512
"90",1120.824,"LC",37344.7857342919,37344.7857342919,37344.7857342919,37344.7857342919,37344.7857342919
"91",1126.616,"LC",1994.9129719216,1994.9129719216,1994.9129719216,1994.9129719216,1994.9129719216
"92",1128.752,"VU",8294.07471302501,8294.07471302501,8294.07471302501,8294.07471302501,8294.07471302501
"93",1136.384,"NT",10036.7092641336,10036.7092641336,10036.7092641336,10036.7092641336,10036.7092641336
"94",1138.352,"VU",3411.36838514349,3411.36838514349,3411.36838514349,3411.36838514349,3411.36838514349
"95",1141.84,"LC",22644.5429482063,22644.5429482063,22644.5429482063,22644.5429482063,22644.5429482063
"96",1154.232,"EN",23465.5027777289,23465.5027777289,23465.5027777289,23465.5027777289,23465.5027777289
"97",1155.472,"CR",3406.19757649043,3406.19757649043,3406.19757649043,3406.19757649043,3406.19757649043
"98",1164.4,"CR",9591.01513701964,9591.01513701964,9591.01513701964,9591.01513701964,9591.01513701964
"99",1165.352,"LC",6405.30871986703,6405.30871986703,6405.30871986703,6405.30871986703,6405.30871986703
"100",1171.288,"LC",14930.3870702848,14930.3870702848,14930.3870702848,14930.3870702848,14930.3870702848
"101",1174.328,"LC",4559.08517396899,4559.08517396899,4559.08517396899,4559.08517396899,4559.08517396899
"102",1185.976,"VU",15218.3259080585,15218.3259080585,15218.3259080585,15218.3259080585,15218.3259080585
"103",1190.344,"NT",38484.1108727234,38484.1108727234,38484.1108727234,38484.1108727234,38484.1108727234
"104",1200.704,"LC",2241.98909272306,2241.98909272306,2241.98909272306,2241.98909272306,2241.98909272306
"105",1210.864,"LC",35739.1754972213,35739.1754972213,35739.1754972213,35739.1754972213,35739.1754972213
"106",1212.632,"LC",60506.4083849781,60506.4083849781,60506.4083849781,60506.4083849781,60506.4083849781
