"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"391","EN",38322615.278533,2566224.63447338,1450804.29043485,2964434.26311366
"392","EN",40840691.0043944,2566224.63447338,1450804.29043485,2964434.26311366
"393","EN",43524222.6970547,2566224.63447338,1450804.29043485,2964434.26311366
"394","EN",46384082.0219958,2566224.63447338,1450804.29043485,2964434.26311366
"395","EN",49431854.9925262,2566224.63447338,1450804.29043485,2964434.26311366
"396","EN",52679888.9076517,2566224.63447338,1450804.29043485,2964434.26311366
"397","EN",56141342.374105,2566224.63447338,1450804.29043485,2964434.26311366
"398","EN",59830238.6151895,2566224.63447338,1450804.29043485,2964434.26311366
"399","EN",63761522.282403,2566224.63447338,1450804.29043485,2964434.26311366
"400","EN",67951120.0000001,2566224.63447338,1450804.29043485,2964434.26311366
"401","VU",214.9048,44056.6970770542,13746.188378368,139032.791642606
"402","VU",229.025614989217,44056.6970770542,13746.188378368,139032.791642606
"403","VU",244.074270659329,44056.6970770542,13746.188378368,139032.791642606
"404","VU",260.111732919867,44056.6970770542,13746.188378368,139032.791642606
"405","VU",277.202973585901,44056.6970770542,13746.188378368,139032.791642606
"406","VU",295.417233595298,44056.6970770542,13746.188378368,139032.791642606
"407","VU",314.828303521262,44056.6970770542,13746.188378368,139032.791642606
"408","VU",335.514822516616,44056.6970770542,13746.188378368,139032.791642606
"409","VU",357.560596900888,44056.6970770542,13746.188378368,139032.791642606
"410","VU",381.054939680906,44056.6970770542,13746.188378368,139032.791642606
"411","VU",406.093032380377,44056.6970770542,13746.188378368,139032.791642606
"412","VU",432.776310644303,44056.6970770542,13746.188378368,139032.791642606
"413","VU",461.212875180433,44056.6970770542,13746.188378368,139032.791642606
"414","VU",491.517929702564,44056.6970770542,13746.188378368,139032.791642606
"415","VU",523.814247649919,44056.6970770542,13746.188378368,139032.791642606
"416","VU",558.232669573395,44056.6970770542,13746.188378368,139032.791642606
"417","VU",594.912633203721,44056.6970770542,13746.188378368,139032.791642606
"418","VU",634.002738348965,44056.6970770542,13746.188378368,139032.791642606
"419","VU",675.661348909932,44056.6970770542,13746.188378368,139032.791642606
"420","VU",720.057234452377,44056.6970770542,13746.188378368,139032.791642606
"421","VU",767.370253935185,44056.6970770542,13746.188378368,139032.791642606
"422","VU",817.792084364506,44056.6970770542,13746.188378368,139032.791642606
"423","VU",871.526997325767,44056.6970770542,13746.188378368,139032.791642606
"424","VU",928.792686539524,44056.6970770542,13746.188378368,137927.526345275
"425","VU",989.821149793776,44056.6970770542,13746.188378368,134620.746510914
"426","VU",1054.85962882566,44056.6970770542,13746.188378368,130794.449866286
"427","VU",1124.17161096027,44056.6970770542,13746.188378368,129367.493391444
"428","VU",1198.03789656441,44056.6970770542,13746.188378368,129367.493391444
"429","VU",1276.7577366399,44056.6970770542,13746.188378368,129367.493391444
"430","VU",1360.65004516509,44056.6970770542,13735.2930964374,129367.493391444
"431","VU",1450.05469109596,43789.2113341776,13701.5479533895,113336.446615168
"432","VU",1545.33387526128,38805.4515028054,13665.5855079743,94304.5411644936
"433","VU",1646.87359772972,28581.8992796615,10777.8509806021,90221.7489424199
"434","VU",1755.08522159371,28581.8992796615,10655.3198742355,87872.1963486903
"435","VU",1870.40713950543,28581.8992796615,10501.579795676,82343.2601536995
"436","VU",1993.30654971621,28581.8992796615,10327.4854329108,82343.2601536995
"437","VU",2124.28134881487,26125.0959622451,10141.9517989554,82343.2601536995
"438","VU",2263.86214883264,20944.9856522577,9807.04382537186,82343.2601536995
"439","VU",2412.61442688672,21218.8834554019,7783.9582233956,82343.2601536995
"440","VU",2571.14081607106,22207.94440223,9038.07530671333,82343.2601536995
"441","VU",2740.08354687541,20726.999429559,9537.44785188932,82343.2601536995
"442","VU",2920.12704902345,20702.2092285874,10141.5793653807,82343.2601536995
"443","VU",3112.00072427067,21161.0955103033,11716.0117778043,82343.2601536995
"444","VU",3316.48190139531,21726.5683862056,13450.1206258808,82343.2601536995
"445","VU",3534.39898535382,22974.569114215,13884.0430226031,82343.2601536995
"446","VU",3766.63481335886,24754.2636601161,13599.9859272913,82343.2601536995
"447","VU",4014.13023147602,26020.0399944602,14384.5316582445,81110.1537005066
"448","VU",4277.88790622919,27936.3639224143,14380.8904555133,75536.7786481452
"449","VU",4558.9763866562,31027.0191784069,14619.6685713658,69426.4316218728
"450","VU",4858.53443327116,34130.4677103185,15760.2068479926,76793.4502874163
"451","VU",5177.7756314713,34600.1718839349,16646.8852010922,89960.3002920586
"452","VU",5517.99330807825,36183.9676260976,17611.1787607351,97242.7638573886
"453","VU",5880.56577093208,36343.3195513767,18635.8540356647,103414.838425154
"454","VU",6266.96189276488,35592.1670821807,19297.7260817016,108107.291239008
"455","VU",6678.74706197565,35254.3811048833,18709.2471674021,110668.536479968
"456","VU",7117.58952441452,36089.8751011324,18303.3038793946,112964.694106075
"457","VU",7585.2671418686,36980.2671552455,18438.2350221698,112971.552583992
